frame_id,timestamp_sec,timestamp_iso,fps,step_id,step_name,activity,anomaly,instruction,lid_angle_deg,lid_state,wrist_cam_x,wrist_cam_y,wrist_cam_z,wrist_rack_x,wrist_rack_y,wrist_rack_z,elbow_angle_deg,shoulder_angle_deg,body_orientation_deg,rom_violated,container_rack_x,container_rack_y,container_rack_z,container_xmin,container_ymin,container_xmax,container_ymax,component_rack_x,component_rack_y,component_rack_z,component_xmin,component_ymin,component_xmax,component_ymax,component_state,component_is_inside,hand_to_object_dist_m,llm_verified_step,llm_verified_name,llm_confidence,llm_reason
1,8.602,2026-09-10T09:04:39.420391Z,50.5,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
2,8.805,2026-09-10T09:04:39.623953Z,0.5,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
3,8.908,2026-09-10T09:04:39.727058Z,7.9,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
4,9.006,2026-09-10T09:04:39.824879Z,10.6,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
5,9.119,2026-09-10T09:04:39.937713Z,9.1,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
6,9.255,2026-09-10T09:04:40.073891Z,9.2,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
7,9.358,2026-09-10T09:04:40.176805Z,7.7,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
8,9.446,2026-09-10T09:04:40.264969Z,10.1,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
9,9.536,2026-09-10T09:04:40.354565Z,11.9,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
10,9.646,2026-09-10T09:04:40.464319Z,9.8,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
11,9.783,2026-09-10T09:04:40.601463Z,9.9,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
12,9.888,2026-09-10T09:04:40.706834Z,6.8,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
13,9.986,2026-09-10T09:04:40.804814Z,10.3,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
14,10.143,2026-09-10T09:04:40.962165Z,8.3,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
15,10.239,2026-09-10T09:04:41.057420Z,7.3,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
16,10.394,2026-09-10T09:04:41.213179Z,7.7,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
17,10.501,2026-09-10T09:04:41.319768Z,7.8,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
18,10.589,2026-09-10T09:04:41.407537Z,11.6,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
19,10.681,2026-09-10T09:04:41.499874Z,12.1,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
20,10.773,2026-09-10T09:04:41.592217Z,10.4,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
21,10.885,2026-09-10T09:04:41.703305Z,11.4,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
22,10.969,2026-09-10T09:04:41.787808Z,8.8,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
23,11.061,2026-09-10T09:04:41.880163Z,12.1,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
24,11.156,2026-09-10T09:04:41.974523Z,10.4,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
25,11.254,2026-09-10T09:04:42.072610Z,10.1,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
26,11.357,2026-09-10T09:04:42.176005Z,10.2,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
27,11.445,2026-09-10T09:04:42.263367Z,10.1,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
28,11.53,2026-09-10T09:04:42.348308Z,12.4,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
29,11.652,2026-09-10T09:04:42.471225Z,11.0,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
30,11.762,2026-09-10T09:04:42.580879Z,7.9,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
31,12.606,2026-09-10T09:04:43.425212Z,5.4,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
32,12.966,2026-09-10T09:04:43.785264Z,1.3,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
33,13.201,2026-09-10T09:04:44.019623Z,2.8,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
34,13.492,2026-09-10T09:04:44.310820Z,4.4,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
35,13.75,2026-09-10T09:04:44.569065Z,3.3,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
36,13.99,2026-09-10T09:04:44.808495Z,3.9,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
37,14.176,2026-09-10T09:04:44.994626Z,4.2,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
38,14.399,2026-09-10T09:04:45.217330Z,5.5,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
39,14.799,2026-09-10T09:04:45.617559Z,4.2,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
40,15.023,2026-09-10T09:04:45.842012Z,2.6,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
41,15.258,2026-09-10T09:04:46.076574Z,4.5,0,IDLE,IDLE,NONE,System initialized. Please open the box.,0.0,CLOSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.668,-1.13,2.135,140.8,230.4,499.2,451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCKED,1,0.5,0,IDLE,1.0,System initialized. Awaiting box opening.
